source_position,item_code,uom,display_name,category,detected_brand,detected_model,gemini_decision,agree,finish_exact,model_exact,gemini_reason,action,hint_source,hint_page,hint_image,hint_status,pilot_page
66,TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Bathroom,Sorento,SRTWC8518-SH-S,pending,yes,yes,no,SRTWC8518-SH-S source vs SRTWC8518 seat-cover record; exact WC page/image unavailable.,search,products_51_100_forensic,https://www.facebook.com/SorentoMalaysia/posts/whether-you-choose-the-powerful-gravity-driven-washdown-or-the-silent-360-degree/1342912134544835/,,PENDING,
67,GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,Rubine,RCE-VULCAN40-BL,candidate,yes,yes,yes,"Official page exactly identifies RCE-VULCAN40-BL built-in ceramic electric hob, ceramic-horizontal, beveled glass/aluminium frame, residual heat warning, KONSTEC heat control, safety lock and timer.",carry_forward,products_51_100_forensic,https://www.rubine.com.my/product/RCE-VULCAN40-BL,https://www.rubine.com.my/files/product_img/IM02133.jpg,VERIFIED_CANDIDATE,
68,ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,Lighting,Taicon,B22,pending,yes,no,no,"Exact Taicon part number, B22-only variant, and image unresolved.",search,products_51_100_forensic,https://www.facebook.com/100063586223862/posts/taicon-3w-b22e27-led-colour-bulb3w-b22-led-colour-bulb%EF%B8%8Fblue%EF%B8%8Fred%EF%B8%8Fyellow%EF%B8%8Fwhite%EF%B8%8Fpin/1546526540810205/,,PENDING,
69,ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,Lighting,Taicon,E27,pending,yes,no,no,Exact Taicon SKU and red variant image unresolved.,search,products_51_100_forensic,https://shopee.com.my/TAICON-LED-STICK-BULB-SERIES-i.94779936.2695466463,,PENDING,
70,MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Bathroom,Saniware,SWBC-SS6414,pending,yes,yes,no,Exact cabinet/tap/basin component list and image missing.,search,products_51_100_forensic,https://saniware.com/?s=SWBC-SS6414,,PENDING,
71,OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,Rubine,RMO-934SS-GD34X,pending,yes,no,yes,Source RMO-934SS-GD34X vs official RMO-934SS-GD34; X suffix unresolved.,search,products_51_100_forensic,https://www.rubine.com.my/product/RMO-934SS-GD34,https://www.rubine.com.my/files/product_img/IM01814.jpg,PENDING,https://www.rubine.com.my/manual-download.php?parent_id=all
72,SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,Sorento,SRTSH2623-BL,candidate,yes,yes,yes,"Official catalogue p.65 names SRTSH2623-BL Rain Shower Head, D Ø225mm / 9in, Matt Black.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,VERIFIED_CANDIDATE,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head
73,SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,Sorento,S/S304,candidate,yes,yes,yes,"Official catalogue p.94 names SRTKS2426-BL, L540xW440xH230mm, Matt Black.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=94,VERIFIED_CANDIDATE,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head
74,SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,Saniware,3WAY,pending,yes,yes,yes,Official Saniware page absent/404; dealer authority and asset rights require confirmation.,search,products_51_100_forensic,https://www.yesbath.com.my/showproducts/productid/6045655/sus304-3-way-bath-shower-set-for-water-heater-black-swpbsp5505b/,https://cdn1.npcdn.net/images/cf6eef12013f376c4a5f3b39abeebe92_1757471914.webp?md5id=5de402365ca7341b8b1e38b3013768e8&new_width=1000&new_height=1000&size=max&w=-62170008925&from=jpeg&type=9,PENDING,
75,TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Kitchen & Sinks,Saniware,SWP-SS-304-3950-MB,pending,yes,yes,no,No exact direct image URL exposed; official Saniware page returned 404.,search,products_51_100_forensic,https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,,PENDING,
76,FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5B-BT,candidate,yes,yes,yes,"Official page exactly identifies RCF-MOZIA56-5B, non-LED DC fan, 8F+8R RF remote, turbo/sleep mode, aerodynamic ABS blades, and Black Timber/Matte Black options.",carry_forward,products_51_100_forensic,https://www.rubine.com.my/product/RCF-MOZIA56-5B,https://www.rubine.com.my/files/product_img/IM00030.png,VERIFIED_CANDIDATE,
77,TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,Bathroom,Sorento,DOWN-SRTWC8840-S,pending,yes,yes,yes,Source -S vs official -RL.,search,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,PENDING,
78,BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,Sorento,SRTBF31416,pending,yes,no,yes,4-in-1 official catalogue vs 5-in-1 dealer set; exact component package and image unresolved.,search,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,PENDING,
79,ELE-D/L-MEG-YTT100ZI-30W,PCS,Megaman E27 LED Bulb,Lighting,Megaman,E27,pending,yes,yes,yes,YTT100ZI vs official YTT100Z1; exact internal code needs owner confirmation.,search,products_51_100_forensic,https://megaman.com.my/product/t-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/11-1-1.jpg,PENDING,
80,RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,Rubine,RGH-FIGATA2B-BL,candidate,yes,yes,yes,"Official page exactly identifies RGH-FIGATA2B-BL built-in gas hob, Dritto/Straight flame, 5.0kW flame power, FFD, convex burner plate and battery ignition.",carry_forward,products_51_100_forensic,https://www.rubine.com.my/product/RGH-FIGATA2B-BL,https://www.rubine.com.my/files/product_img/IM01807.jpg,VERIFIED_CANDIDATE,https://www.rubine.com.my/manual-download.php?parent_id=all
81,SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Bathroom,Saniware,2WAY,pending,yes,yes,no,Exact model page/image inaccessible; 2-way configuration only from source/discovery.,search,products_51_100_forensic,NOT_PRESERVED,,PENDING,
82,SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,Sorento,SRTKS2431,pending,no,yes,yes,Prior file accepted candidate asset from third-party retailer/dealer buildershardware.com.my rather than official Sorento OEM catalogue/portal. Fails marketplace/dealer gate.,fix,products_51_100_forensic,https://buildershardware.com.my/product/sorento-kitchen-sink-srtks2431/,https://buildershardware.com.my/wp-content/uploads/2024/08/SRTKS2431-19.jpg,VERIFIED_CANDIDATE,
83,ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,Electrical,MKK,7/0.49MM,pending,yes,yes,no,"Exact MKK part number, conductor standard, insulation rating and image missing.",search,products_51_100_forensic,NOT_PRESERVED,,PENDING,
84,FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,Deka,54LED,pending,yes,yes,yes,Source 54LED/CGNL54MB12 vs official base Geno 54 LED Power N/A.,search,products_51_100_forensic,https://deka.my/geno-54/,https://deka.my/geno-54/,PENDING,
85,KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Home Appliances,Khind,KHIND-HD1800,candidate,yes,yes,yes,"Official Khind page exactly identifies Hair Dryer HD1800, 1800W, 240V~50Hz, Matt Black, 1.8m cable, 0.5kg net weight, folded/unfolded dimensions.",carry_forward,products_51_100_forensic,https://khind.com.my/products/1800w-hair-dryer,https://khind.com.my/cdn/shop/files/hd1800-wh-cover_280521152043.jpg?v=1751809539,VERIFIED_CANDIDATE,
86,OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,Rubine,RMO-OREO-28BL,candidate,yes,yes,yes,"Official page exactly identifies RMO-OREO-28BL built-in microwave with grill, 28L, 8 auto menus, electronic control/LCD, child lock, stainless-steel cavity and 595x400x388mm.",carry_forward,products_51_100_forensic,https://www.rubine.com.my/product/RMO-OREO-28BL,https://www.rubine.com.my/files/product_img/IM01815.jpg,VERIFIED_CANDIDATE,https://www.rubine.com.my/manual-download.php?parent_id=all
87,ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,Electrical,MKK,7/0.49MM,pending,yes,yes,no,"Exact MKK part number, conductor standard, insulation rating and image missing.",search,products_51_100_forensic,NOT_PRESERVED,,PENDING,
88,MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Bathroom,Saniware,SWBC-SS6811,pending,yes,yes,no,Exact cabinet/tap/basin component list and image missing.,search,products_51_100_forensic,https://saniware.com/?s=SWBC-SS6811,,PENDING,
89,SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Bathroom,Saniware,SET&1.2M,pending,yes,yes,no,No direct exact image URL exposed; official Saniware page returned 404.,search,products_51_100_forensic,https://www.htrendskb.com.my/showproducts/productid/6246533/cid/387813/saniware-two-way-tap-with-bidet-black-swpss3046875ba/,,PENDING,
90,TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Kitchen & Sinks,Saniware,SWP-SS-304-3950,pending,yes,yes,no,No exact direct image URL exposed; official Saniware page returned 404.,search,products_51_100_forensic,https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,,PENDING,
91,TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,Saniware,SWP-SS-304-3213-G,pending,yes,yes,no,Gold exact page/image is dealer-only; manufacturer page exists only for base stainless model.,search,products_51_100_forensic,https://www.hengshenghardware.com.my/showproducts/productid/6519703/cid/653991/saniware-tall-basin-cold-tap-swpss3043213g-saniware-products-in-selangor/,https://cdn1.npcdn.net/images/ae00ee05e540a1bfa5317d407c20f63e_1778769104.webp?md5id=aa669fe24aabb489080c05a96e7f594b&new_width=1000&new_height=1000&size=max&w=1784295513&from=png&type=9,PENDING,
92,BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Bathroom,Sorento,5IN1,pending,yes,yes,no,No direct exact image URL exposed; mirror cabinet + package components differ from other furniture families.,search,products_51_100_forensic,https://www.zhinheng.com.my/showproducts/productid/6040406/cid/205566/sorento-5-in-1-bathroom-furniture-srtbf31514srtmcb6083bl/,,PENDING,
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,Deka,F66,pending,yes,no,yes,Source CF66DC66MB12 vs official base F66 DC; possible LED/variant suffix.,search,products_51_100_forensic,https://deka.my/f66-dc/,https://deka.my/f66-dc/,PENDING,
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,Joven,JP200,pending,yes,yes,no,Source red vs official white asset; red model-specific SKU/image not proven.,search,products_51_100_forensic,https://www.joven-electric.com/my/jp200-water-purifier.html,https://www.joven-electric.com/my/jp200-water-purifier.html,PENDING,
95,KHI-HDR-HD511-GRE,SET,Hair Dryer 1400W (matt Grey),Home Appliances,Khind,KHIND-HD1400,pending,yes,yes,no,Ekoway HD511-GRE / Matt Grey vs official HD1400 model; exact finish/internal-code mapping needs confirmation.,search,products_51_100_forensic,https://khind.com.my/products/khind-hair-dryer-hd1400,https://khind.com.my/cdn/shop/files/HD1400_1_HiRes_1a611a78-9046-49f7-96cd-f0af17337545.jpg?v=1751809409,PENDING,
96,SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,Sorento,2WAYS,candidate,yes,yes,yes,"Official catalogue p.62 names SRTWT9605-RG 2-Ways Exposed Shower Set, ABS rain shower head 220mm, 5-functions ABS hand shower, solid-brass body, push-button diverter and Rose Gold finish.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,VERIFIED_CANDIDATE,
97,SHO-SOR-SRTWT9614,PCS,Sorento Shower Set,Bathroom,Sorento,3WAYS-EXPOSED,pending,yes,yes,no,Exact image and full finish/color fields not exposed.,search,products_51_100_forensic,https://sorento.com.my/result/bidet__or__bottle-trap__or__exposed-shower-set__or__free-standing-basin__or__seat-cover__or__shaving-mirror__or__under-counter-basin__or__wall-mounted/colours/Chrome__or__White,,PENDING,
98,TAP-SAN-SWP-SS-304-3939,PCS,Saniware Premier Double Spout Kitchen Pillar Sink Tap,Kitchen & Sinks,Saniware,SWP-SS-304-3939,pending,yes,yes,no,"Exact double-spout product page, dimensions, finish and image missing.",search,products_51_100_forensic,https://saniware.com/?s=SWP-SS-304-3939,,PENDING,
99,X-GAS-STO-RUB-TAE10-M372,UNIT,Rubine Glass Hob RGH-ALLORA2B-BL,Kitchen & Sinks,Rubine,RGH-ALLORA2B-BL,pending,yes,yes,no,Exact official page/image inaccessible; exact burner/spec variant not preserved.,search,products_51_100_forensic,https://www.rubine.com.my/product/RGH-ALLORA2B-BL,,PENDING,
100,FAN-FLO-KHI-FF2005,PCS,20 Ind Floor Fan Black,Fans & Ventilation,Khind,KHIND-FF2005,pending,no,no,yes,Prior file accepted asset FF2005_WH.jpg (White) for product FAN-FLO-KHI-FF2005 specified as Black (20 Ind Floor Fan Black). Colour/finish mismatch (white image for black product).,fix,products_51_100_forensic,https://khind.com.my/products/20-industrial-floor-fan,https://khind.com.my/cdn/shop/files/ssmy.zone-1731060431-FF2005_WH.jpg?v=1751808994,VERIFIED_CANDIDATE,
101,SIN-SOR-SRTKS2427-BL,PCS,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,Sorento,SRTKS2427-BL,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Catalogue page number and exact black-finish image crop not yet preserved.,search,products_101_1000_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,,PENDING,
102,BAS-SOR-SRTWB7132,PCS,Sorento Counter Top Basin,Bathroom,Sorento,SRTWB7132,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Catalogue dimension text is L400xW400xH140mm, but PDF page and exact image crop are not yet preserved.",search,products_101_1000_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,,PENDING,
103,ELE-D/L-MEG-YTPDGLE5-70W,PCS,Megaman E27 Led-t Bulb,Lighting,Megaman,E27,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Official 70W row prints PLC under Cap while source display/family says E27; exact cap configuration is unresolved.,search,products_101_1000_forensic,https://megaman.com.my/product/high-lumen-t-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-7-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-4.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-9-2.jpg,PENDING,
104,X-ELE-LED-FFL-CHA-10W,PCS,Taicon Stick LED Mini 5W E27 - Red,Lighting,Taicon,E27,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
105,ELE-BUL-E27-3W-BLUE,PCS,Taicon E27 3W LED Color Bulb-blue,Lighting,Taicon,E27,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
106,ELE-HOL-TC818-E27,PCS,Taicon Tc 818 E27 Lamp Holder,Lighting,Taicon,E27,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
107,FAN-WAL-KHI-FW1660TH,SET,16 Wall Fan,Fans & Ventilation,Khind,WF1602SE-KHIND,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Source internal code FW1660TH and source finish do not exactly map to official WF1602SE Winter Grey.,search,products_101_1000_forensic,https://khind.com.my/products/khind-16-wall-fan-wf1602se,,PENDING,
108,KHI-POT-AP550,SET,Khind Thermos Pot 5.5L,Home Appliances,Khind,AP550,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact product image and complete product page not preserved.,search,products_101_1000_forensic,https://khind.com.my/collections/user-manuals?page=4,,PENDING,
109,RAINBOW-G888-250GM,BTL,Nippon Gold Paint 999 Gold,Paint & Sundries,Nippon Paint,250GM,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact product family, finish and official 250g packaging not preserved.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
110,TAP-SAN-SWP-B-3203-RG,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Bathroom,Saniware,SWP-SS-304-3203-RG,candidate,yes,yes,yes,Exact official asset verified for SWP-SS-304-3203-RG matching product specifications and finish.,carry_forward,products_101_1000_forensic,https://saniware.com/product/premier-basin-pillar-cold-tap-swp-ss-304-3203-rg/,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3203-RG.jpg,VERIFIED,
111,TAP-SAN-SWP-SS-3391,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-3391,Kitchen & Sinks,Saniware,SWP-SS-3391,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact page, dimensions, finish/package and image not preserved.",search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
112,SPR-BID-SWP-SS-304-6875A,PCS,Saniware Premier Two Way Tap With Bidet Set 1.2M Flex. Hose,Bathroom,Saniware,SWP-SS-304-6875A,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact page, dimensions, finish/package and image not preserved.",search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
113,SPR-BID-SWSB-ABS-362,PCS,Saniware ABS Spray Bidet Set Holder & 1.2MM Flexible Hose,Bathroom,Saniware,SWSB-ABS-362,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Exact page, dimensions, finish/package and image not preserved.",search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
114,BATH-SRTBF31417,PCS,Sorento 6 IN 1 Bathroom Furniture,Bathroom,Sorento,SRTBF31417,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact page returned no extractable content; complete component list and image not preserved.,search,products_101_1000_forensic,https://sorento.com.my/bathroom/bathroom-furniture/6-in-1-bathroom-furniture,,PENDING,
115,ELE-D/L-MEG-FE2155D-18W-3000K,PCS,Megaman Plce T3 3U E27 Bulb,Lighting,Megaman,E27,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact 3000K versus unspecified row and exact package image not preserved; distributor search result only.,search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
116,FAN-CEI-DEKA-CF5DC46MB12,UNIT,Deka Ceiling Fan F5 DC~46 Pro Matt Blk,Fans & Ventilation,Deka,DC~46,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. NOT_PRESERVED,search,products_101_1000_forensic,https://deka.my/f5-dc-46-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-46-PRO-MB-Jpg-OK.jpg,PENDING,
117,X-RUB-TRB08-006,UNIT,Rubine Rjs 622 S/s Sink (1BB+1SB),Kitchen & Sinks,Rubine,1BB+1SB,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. No exact authoritative source or asset was preserved in this shard pass.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
118,ELE-BUL-B22-3W-BLU,PCS,Taicon B22 3W LED Color Bulb - Blue,Lighting,Taicon,B22,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
119,STA-HAM-SBD715D2K,UNIT,Stanley Fatmax 20V Brushless Hammer Drill,Power Tools,Stanley,SBD715D2K,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. B1 package may contain two batteries and charger; source has no suffix.,search,products_101_1000_forensic,https://www.lkmmachinery.com.my/showproducts/productid/4769011/cid/96811/stanley-sbd715d2k-20v-cordless-brushless-hammer-drill-with-battery-1-charger/,,PENDING,
120,BOS-0601-227-1L2,UNIT,Gsb 13RE Impact Drill (blow Mode Set),Power Tools,Bosch,13RE,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact model/order number match is strong; direct image URL not exposed in preserved extraction.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/products/gsb-13-re-06012271L2,,PENDING,
121,GAS-STO-KHI-GC7125,SET,Khind Gas Cooker (stainless Steel),Home Appliances,Khind,GC7125,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact product image not preserved.,search,products_101_1000_forensic,https://khind.com.my/products/khind-gas-cooker-gc7125,,PENDING,https://khind.com.my/collections/gas-stoves
122,SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Bathroom,Sorento,2WAYS,candidate,yes,yes,yes,Exact official asset verified for SRTWT9600HP matching product specifications and finish.,carry_forward,products_101_1000_forensic,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/exposedshowerset-mobile/srtwt9600-detail,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTWT9600-(product).jpg,VERIFIED,
123,LOC-YALE-Y120B-50-KA5,SET,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA5,Lifting & Rigging,Yale,Y120B-50-KA5,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact /127/5 five-piece keyed-alike page/image absent; /127/2 sibling confirms family but not exact pack.,search,products_101_1000_forensic,https://www.yalehome.com/my/en/products/padlocks/outdoor-environment/y120b-series,,PENDING,
124,SHO-SOR-SRTSS8730,PCS,Sorento Sliding BAR Shower Set - SRTSS8730,Bathroom,Sorento,SRTSS8730,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Official materials conflict on 3 versus 5 functions and expose SRTSS8730-04 variant; source has no suffix.,search,products_101_1000_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,,PENDING,
125,ELE-BUL-E27-3W-GREEN,PCS,Taicon E27 3W LED Color Bulb-green,Lighting,Taicon,E27,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
126,KHI-INF-COO-IRC2000,SET,Khind - Infrared Cooker (black),Home Appliances,Khind,IRC2000,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact product image not preserved.,search,products_101_1000_forensic,https://khind.com.my/products/infrared-cooker,,PENDING,https://khind.com.my/collections/user-manuals?page=21
127,STA-DRI-BRU-SBD710D2K,UNIT,Stanley Fatmax 20V Max Brushless Drill Driver,Power Tools,Stanley,SBD710D2K,pending,yes,yes,yes,Fail-closed: evidence insufficient for VERIFIED. Exact suffix/package/bundle not proven; no family image substituted.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
128,ELE-BUL-B22-3W-GRE,PCS,Taicon B22 3W LED Color Bulb - Green,Lighting,Taicon,B22,pending,yes,yes,no,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
129,ELE-D/L-MEG-FE2155D-18W,PCS,Megaman E27 3U Bulb,Lighting,Megaman,E27,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Exact 3000K versus unspecified row and exact package image not preserved; distributor search result only.,search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
130,NIP-MAT-W9102-18L,DRUM,18L Super Matex Bs 9102 White,Paint & Sundries,Nippon Paint,,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Official page confirms family only; exact 18L BS 9102 packaging and image not preserved.,search,products_101_1000_forensic,https://www.nipponpaint.com.my/product/super-matex/,,PENDING,https://www.nipponpaint.com.my/product/super-matex/
131,STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Power Tools,Stanley,SC200,pending,yes,yes,yes,Fail-closed: evidence insufficient for VERIFIED. Exact suffix/package/bundle not proven; no family image substituted.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
132,STA-PRE-WAS-BEPW1800T,UNIT,Black+decker Vertical Pressure Washer 125 BAR,Power Tools,Stanley,BEPW1800T,pending,yes,yes,yes,Fail-closed: evidence insufficient for VERIFIED. Exact suffix/package/bundle not proven; no family image substituted.,search,products_101_1000_forensic,NOT_PRESERVED,,PENDING,
133,TAP-SAN-SWP-SS-304-106,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-304-106,Kitchen & Sinks,Saniware,SWP-SS-304-106,pending,yes,no,no,Fail-closed: evidence insufficient for VERIFIED. Exact official page returned no content; dimensions/finish/image not preserved.,search,products_101_1000_forensic,https://saniware.com/product-category/faucet/saniware-premier/,,PENDING,
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Lighting,Megaman,A60,pending,yes,no,no,"Fail-closed: evidence insufficient for VERIFIED. Family/model technical evidence exists, but exact colour-temperature row and exact source image are not preserved.",search,products_101_1000_forensic,https://megaman.com.my/product-category/led-lighting-source/,,PENDING,
135,BOS-0601-9H9-0L2C2,SET,Gws + Gsb Set + Gbh Solo + Gdx Solo Combo,Power Tools,Bosch,180-LI,pending,yes,yes,no,Fail-closed: evidence insufficient for VERIFIED. Source bundles do not match current official six-kit list; exact contents/suffixes unresolved.,search,products_101_1000_forensic,https://www.bosch-pt.com.my/my/en/combo-kits-3038553-ocs-c/,,PENDING,
